imo,mmsi,name,flag,type
7396381,770576232,"BUENOS AIRES EXPRESS",UY,"Passengers Ship"
9119385,770576231,"SILVIA ANA L",UY,"Ro-Ro/Passenger Ship"
7363841,770576227,"SANT BULT",UY,Tug
8502248,770576223,"FLECHA DE BS AS",UY,"Ro-Ro/Passenger Ship"
8704937,770576220,"COLONIA EXPRESS",UY,Passenger
9043952,770576219,"PATRICIA OLIVIA II",UY,"Ro-Ro/Passenger Ship"
7217858,770576198,SUDESTADA,UY,Tug
8020135,770576196,LUCERO,UY,"General Cargo"
8317710,770576192,PAMPERO,UY,Tug
9241138,770576190,"VB MONTEVIDEO",UY,Tug
8317710,770576189,"GAUCHO 2",UY,Tug
9044114,770576154,MATRERO,UY,Tug
8819483,770576150,ALDEBARAN,UY,Fishing
6016685,770576120,ANTARES,UY,Fishing
8869581,770576105,"ELADIA ISABEL",UY,"Ro-Ro/Passenger Ship"
7821013,770576078,"ANCAP NOVENO",UY,"Oil Products Tanker"
8411176,770576067,GAUCHO,UY,Tug
7011644,770576066,"ANGLIAN WARRIOR",UY,Tug
6801860,770576064,ZAANDAM,UY,Fishing
6704749,770576063,ZURITA,UY,Fishing
9326677,770576044,OWBALTIC,UY,"Oil Products Tanker"
7808188,770576010,PLATENSE,UY,"Ro-Ro Cargo"
9001540,770576009,"ATLANTIC III",UY,"Ro-Ro/Passenger Ship"
9053464,770565353,BADARO,UY,Fishing
9308429,765123452,HAYDN,SR,"Container Ship"
7650017,765000017,"FAKE 204795 FAKE",,"Other Type"
7650006,765000006,"TACT 6",SR,"Military ops"
7650005,765000005,"TACT 5",SR,"Not available"
9052903,760126000,"BAP TACNA",PE,"Replenishment Vessel"
8417261,760001220,"SANTA CLARA B",PE,Tanker
9144160,760001110,"CNP PAITA",PE,"Container Ship"
9291638,760000700,"TRADEWIND HOPE",PE,Tanker
9262869,760000440,MOQUEGUA,PE,"Tanker D"
9763928,760000400,"DON OLE",PE,Fishing
6708412,756050576,"PLATA     FEEDER",,Cargo
7407996,755890648,"PATRICIA M",PY,"Not available"
8522377,755890643,"SARA A",PY,"Not available"
1048576,755888819,VOSTOK,PY,"Not available"
8933746,755355148,JOSAMO,PY,"General Cargo"
9686481,755091100,"HB LYNX",PY,Tug
9545974,755055000,"RAUL D",PY,Tug
9535503,755053000,CLARA.B,PY,Tug
9551090,755043000,"AVA PAYAGUA",PY,Tug
9686455,755023456,"HB HYDRA",PY,Towing
9686508,755022300,"HB AQUILA",PY,"Other Type"
9686510,755022000,"HB SCORPIUS",PY,"Other Type"
9686522,755012300,"HB CENTAURUS",PY,"Not available"
9686483,755011000,"HB PEGASUS",PY,"Other Type"
9051997,755009822,TEHIA,PY,"General Cargo"
7034878,755004000,EXPLORADOR,PY,"General Cargo"
7816109,755002914,"DONA MARGARITA",PY,"Ro-Ro Cargo"
7822524,755002000,"PLATA FEEDER",PY,"General Cargo"
9291585,752729680,"YM VENU_   8  ,  !",,"Oil/Chemical Tanker"
9739707,752032001,"NIVAGA 3",,"Passenger A"
7500762,750000037,FAIRLAND,GY,"General Cargo"
7816109,745663445,"DONA MARGARITA",GF,"Ro-Ro Cargo"
9741700,744738287,OH679,,"Not available"
6805165,740845003,NIKY,FK,"General Cargo"
9361603,740382000,TRONIO,FK,Fishing
8704779,740372000,"NEW POLAR",FK,Trawler
8916932,740369000,CFL.GAMBLER,FK,Fishing
8517463,740368000,KALATXORI,FK,Trawler
8717465,740366000,"ROBIN M. LEE",FK,Trawler
8516043,740363000,"PARADANTA PRIMERO",FK,Trawler
8604694,740359000,"ARGOS VIGO",FK,Trawler
8605947,740358000,CASTELO,FK,Trawler
9114256,740357000,"ERNEST SHACKLETON",FK,"Research/Survey Vessel"
8521347,740356000,SIL,FK,"Factory Trawler"
8619754,740354000,VENTURER,FK,Trawler
8600430,740353000,"ARGOS PEREIRA",FK,Trawler
8801979,740344000,"GOLDEN CHICHA",FK,Trawler
8904496,740339000,"JAMES CLARK ROSS",FK,"Research/Survey Vessel"
8600428,740338000,IGUELDO,FK,Trawler
7813119,740337000,"BEAGLE FI",FK,Trawler
8704614,740336000,"ARGOS GALICIA",FK,Trawler
7388499,740335000,CAPRICORN,FK,Trawler
7819125,740333000,PETREL,FK,Trawler
9302601,739332480,Y,,Cargo
9242091,735059314,"B/RAM TUMBES",EC,Tug
9710983,735059287,JOCAY,EC,Fishing
9038165,735059255,KENY,EC,Fishing
9186027,735059214,"RAM PUYANGO",EC,"Other Type"
8619106,735059007,LIBERTAD2,EC,Tanker
9175482,735058769,"MARIA DEL CARMEN VI",EC,"Oil Products Tanker"
9204908,735058261,"GUAYAS II",EC,"Other Type"
9410246,735057784,"MARIA DEL CARMEN III",EC,Tanker
9174373,735057549,SANTIAGO,EC,Tug
6802319,735057545,"B/T BONITO",EC,Tanker
8028254,733788889,TEMPTATION,,Cargo
9536492,730151209,"RM BOREAS",CO,Tug
9695547,730151181,MARDEANGELES,CO,Tug
9536507,730151136,ALISIOS,CO,Tug
9390238,730151101,"RM APOLO",CO,"Other Type"
9241920,730151081,"RM CALIMA I",CO,Tug
8810750,730151041,MONIKA,CO,"General Cargo"
9675250,730151035,"RM GAIRA",CO,Tug
9562556,730151030,CHINOOK,CO,Tug
9654438,730151010,"GPC TESORO",CO,Tug
9654426,730128000,"GPC ROSARIO",CO,Tug
9654414,730127000,"GPC BARU",CO,Tug
9396397,730125000,R.M.BARU,CO,Tug
9598983,730109000,TYR,CO,Tug
9637648,730105000,"DONA CLARY",CO,Cargo
9517783,730095000,"MRS DOROTY",CO,Tug
9517848,730093000,"OSCAR PAEZ JR.",CO,Tug
9303625,730092000,"DON NICOLA",CO,"Anchor Handling Vessel"
7402623,730088000,"CARTAGENA SUN",CO,"Oil/Chemical Tanker"
8803355,730087000,"TUG COVENAS",CO,Fishing
8424628,730085000,CERREJON,CO,Tug
9579377,730079000,"SEA TROUT",CO,"Anchor Handling Vessel"
7507758,730077000,GOLIATH,CO,"Towing > 200m OR Breadth > 25m"
8983648,730068000,MR.SAM,CO,"Other Type"
9121508,730063000,TITANIA,CO,Tug
8129450,730060000,"B/T SAN ANDRES II",CO,"Oil Products Tanker"
9381093,730044000,ODIN,CO,Tug
9287443,730026000,PENSILVANIA,CO,"General Cargo"
9734317,726848936,TARUA,,"Not available"
8564079,725818858,KALATIK,CL,Passenger
9213193,725027000,HUEMUL,CL,"Chemical Tanker"
9254812,725019920,ABTAO,CL,"Oil Products Tanker"
9232981,725019910,COPIHUE,CL,"Container Ship"
9046083,725019600,COPERNICO,CL,"General Cargo"
9346469,725019340,"PUNTA GRUESA",CL,"Oil Products Tanker"
7431222,725019316,725019316,CL,"Military ops"
9420760,725019310,PUDU,CL,"Oil/Chemical Tanker"
9281803,725019210,"DONA ANA",CL,"Oil/Chemical Tanker"
9580132,725019110,"SPL TARAPACA",CL,"Bulk Carrier"
9304203,725019109,LORETO,CL,"Bulk Carrier"
8642799,725019006,ESMERALDA,CL,"Sailing Vessel"
8909111,725018300,LINGUE,CL,"Bulk Carrier"
9163764,725018100,LAMA,CL,"Oil/Chemical Tanker"
9299367,725017900,"PUNTA ANGAMOS",CL,"Oil Products Tanker"
9191632,725017700,CONDOR,CL,Cargo
9197351,725017200,MAPOCHO,CL,"Container Ship"
8312758,725015100,TUPUNGATO,CL,"Bulk Carrier"
7312141,725014800,AMATISTA,CL,"General Cargo"
7927520,725012200,"DONA CARMELA",CL,"Oil Products Tanker"
8708957,725011900,UNIONSUR,CL,"Factory Trawler"
7211218,725011100,ANTONIO,CL,"Not available"
9242091,725010400,TUMBES,CL,Tug
9304643,725010010,"CABO TAMAR",CL,"Crude Oil Tanker"
8312772,725009700,TATIO,CL,"Bulk Carrier"
9191553,725009210,"BOW ANDES",CL,"Chemical Tanker"
9116149,725005570,"RAULI N",CL,"Bulk Carrier"
9113850,725005560,"ROBLE N",CL,"Bulk Carrier"
9169251,725004520,"PAM DON ALFONSO",CL,"Fishing Vessel"
9434022,725004430,SKYRING,CL,Tug
9384394,725004420,OTWAY,CL,Tug
8100129,725004360,SAMSON,CL,"General Cargo"
9184407,725003670,"SAN JOSE",CL,"Fishing Vessel"
9345661,725003570,"BANDURRIA II",CL,Tug
9317327,725002750,PELLAIFA,CL,Tug
9299989,725002740,PULLINQUE,CL,Tug
8609541,725002410,"PAM LEOPARDO",CL,Fishing
7404372,725002360,"CABO DE HORNOS",CL,Fishing
9262376,725002350,"GLOBALPESCA I",CL,"Other Type"
9253650,725002040,PEQUEN,CL,Tug
9276987,725001793,"TRICAHUE I",CL,
8009026,725001517,COYHAIQUE,CL,"Ro-Ro Cargo"
9760976,725001502,TALTAL,CL,"Other Type"
8324086,725001479,"BERKAY N",CL,"General Cargo"
9629718,725001411,ANTOFAGASTA,CL,"Oil/Chemical Tanker"
9629495,725001409,ARICA,CL,"Oil Products Tanker"
9654440,725001404,CHERCAN,CL,Tug
9525431,725001346,CUCAO,CL,Tug
9278911,725001321,ALMENDRO,CL,"Bulk Carrier"
9744219,725001305,ANGOL,CL,"Other Type"
9310575,725001302,CORRAL,CL,"Bulk Carrier"
9734317,725001297,TIRUA,CL,"Other Type"
9731494,725001276,CABURGUA,CL,"Other Type"
9260378,725001204,CORCOVADO,CL,"General Cargo"
9205615,725001193,"ULTRA TRONADOR",CL,"Bulk Carrier"
7411674,725001180,"IORANA CARGO",CL,"General Cargo"
9623154,725001172,BEAGLE,CL,Tug
9708344,725001155,LEBU,CL,Tug
9662629,725001154,MAKOHE,CL,Tug
9705615,725001135,ANTUCO,CL,"Other Type"
9706059,725001134,RITOQUE,CL,"Other Type"
9311359,725001131,"CABO FROWARD",CL,"Oil Products Tanker"
7424059,725001123,DANSTAR,CL,"General Cargo"
9316050,725001048,ELENA,CL,"Bulk Carrier"
9580156,725001045,"SPL ATACAMA",CL,"Bulk Carrier"
9673915,725000996,PUQUEN,CL,Tug
9145499,725000950,"MARIA JOSE",CL,"Fishing Vessel"
9655860,725000927,"PELICANO II",CL,Tug
9643116,725000925,MAIHUE,CL,Tug
9643104,725000924,COLICO,CL,Tug
9384382,725000906,RANCO,CL,Tug
9148477,725000890,CORSARIO_I,CL,Trawler
9620889,725000888,"RAM CHORLO",CL,Tug
9620877,725000878,YAMAN,CL,Tug
9604627,725000875,YAGHAN,CL,Passenger
9141560,725000850,"DON MANUEL",CL,Fishing
9559511,725000823,RUPANCO,CL,Tug
9261061,725000818,CORDILLERA,CL,"General Cargo"
9572783,725000802,ELQUI,CL,Tug
9287821,725000795,"DON GONZALO 1",CL,"Oil Products Tanker"
9287819,725000794,"DON PANCHO",CL,"Oil Products Tanker"
9528988,725000785,ENCO,CL,Tug
9579353,725000777,CHUCAO,CL,Tug
9579365,725000776,CARANCA,CL,Tug
7434092,725000755,"SAINT BRANDAN",CL,Cargo
9105815,725000752,"AGUNSA ORCA",CL,Passenger
9570163,725000736,TUNQUEN,CL,Tug
9570151,725000723,PUELO,CL,Tug
9559509,725000715,PUYEHUE,CL,Tug
9453028,725000714,HORCON,CL,Tug
9453016,725000695,LONCURA,CL,Tug
7424023,725000682,"VARUA VAIKAVA",CL,"General Cargo"
9105671,725000669,"PAM PELICANO",CL,Trawler
9434034,725000636,FITZROY,CL,Tug
7028441,725000629,VOR,CL,Cargo
9571454,725000607,FARDELA,CL,Tug
7303140,725000591,"PUERTO WILLIAMS",CL,Fishing
8517669,725000390,"DON PEDRO",CL,Cargo
8212301,725000325,ARAUCANO,CL,Tanker
9308326,725000297,"AGUILA III",CL,"Offshore Supply Ship"
8122684,725000261,"B\F UNZEN",CL,Fishing
8212300,725000230,ARAUCANO,CL,Tanker
9003110,725000205,"B/C ABATE MOLINA",CL,"Fishery Research Vessel"
9702273,722832000,"MSC ANTONELLA",,Cargo
7007514,720939000,"LOYALTY EXPRESS",BO,"General Cargo"
8126549,720938000,SLINGSHOT,BO,Cargo
7702918,720936000,"ABD ALKARIM",BO,"General Cargo"
9071052,720927000,"UNITED OCEAN",BO,"General Cargo"
7321441,720923000,JOUDI,BO,"General Cargo"
7803229,720919000,ALEX,BO,"General Cargo"
7413921,720917000,"HADDAD 1",BO,"General Cargo"
8113205,720916000,SHARK,BO,"General Cargo"
7702748,720914000,"SEA BIRD",BO,"General Cargo"
7909619,720905000,"MED DREAM",BO,"Ro-Ro/Passenger Ship"
8408454,720899000,NAIYA,BO,"Ro-Ro Cargo"
6602513,720892000,"VOICI BERNADETTE",BO,"General Cargo"
7366037,720891000,"ENAS H",BO,"General Cargo"
7819876,720889000,"M/V ABDULLAH",BO,"General Cargo"
8117421,720874000,LISANNE,BO,"General Cargo"
8416152,720869000,"MOUNIE K",BO,"General Cargo"
8129474,720863000,SHAM,BO,"General Cargo"
7930553,720849000,MINOUCHE,BO,"General Cargo"
7802392,720839000,"MV RED BARONESS",BO,"General Cargo"
8419724,720834000,"CAPTIN MUSTAFA",BO,Cargo
6522921,720777000,"VALPARAISO I",BO,"General Cargo"
7800306,720734000,"AHMAD PRINCE",BO,"General Cargo"
8370522,720722000,DRATBINGA-4,BO,
7637345,720718000,"FAMILY ISLAND",BO,"General Cargo"
7311800,720662000,ALMAHER,BO,"Not available"
7119991,720605000,ATENEA,BO,Cargo
5013556,720501355,"IB ASUNCION",BO,"Wing in ground"
8951431,720318000,SOYF,BO,Cargo
7930553,719800424,MINOUCHE,,"General Cargo"
1234567,715112332,INTERMARINE,,"Not available"
8501854,712048557,"ASTR_ PARATI",,"Anchor Handling Vessel"
8501907,712048554,"ASTRO ENCHOVA",,"Anchor Handling Vessel"
7911741,710999986,"NS LORETO",BR,"Offshore Supply Ship"
8501854,710999981,"ASTRO PARATI",BR,"Anchor Handling Vessel"
7911739,710999977,MARATI,BR,"Offshore Supply Ship"
7911753,710999976,ECO-OCTO,BR,"Other Type"
7434509,710999973,"SAGA RONCADOR",BR,"Offshore Supply Ship"
8617108,710999117,"MT LIVRAMENTO",BR,"Oil Products Tanker"
8501842,710999112,"ASTRO VERMELHO",BR,"Anchor Handling Vessel"
8501830,710999111,"ASTRO GAROUPA",BR,"Anchor Handling Vessel"
8501828,710999108,"ASTRO GUARICEMA",BR,"Anchor Handling Vessel"
8502963,710999107,CLARISSE,BR,"Anchor Handling Vessel"
8502949,710999104,CARMEN,BR,Tug
8501880,710999103,"ASTRO ARRAIA",BR,"Anchor Handling Vessel"
8501878,710998000,"ASTRO PARGO",BR,"Anchor Handling Vessel"
8753964,710992000,PIII,BR,"Drilling Jack Up"
9723784,710498000,"VITAL DE OLIVEIRA",BR,"Not available"
9526411,710495000,"NPAOC ARAGUARI",BR,"Patrol Vessel"
9526409,710494000,"BRS APA",BR,"Patrol Vessel"
9526394,710493000,"NPAOC AMAZONAS",BR,"Patrol Vessel"
9668752,710335000,"STARNAV REGULUS",BR,Cargo
8617081,710319500,"M\V PIRAI",BR,"Crude Oil Tanker"
9467158,710295000,"ALIANCA ENERGIA",BR,"General Cargo"
8617067,710267000,PIQUETE,BR,"Crude Oil Tanker"
7801764,710256000,"NT NEUSA",BR,"Oil Products Tanker"
7801752,710255000,NARA,BR,"Oil Products Tanker"
7801740,710254000,NORMA,BR,"Oil Products Tanker"
7921899,710253000,GUAPORE,BR,"Lpg Tanker"
7921875,710252000,GUARUJA,BR,"Lpg Tanker"
8516897,710248000,GURUPI,BR,"Lpg Tanker"
8506438,710247000,GURUPA,BR,"Lpg Tanker"
8506426,710246000,GRAJAU,BR,"Lpg Tanker"
9668740,710245000,"STARNAV URSUS",BR,"Offshore Supply Ship"
7801726,710244000,NILZA,BR,"Oil Products Tanker"
7921887,710243000,GUARA,,"Lpg Tanker"
7801714,710242000,MAISA,BR,"Oil Products Tanker"
7801702,710240000,DILYA,BR,"Oil Products Tanker"
9453810,710239000,"ZUMBI DOS PALMARES",BR,Tanker
9668738,710238000,"STARNAV CENTAURUS",BR,"Cargo A"
7801697,710237000,DIVA,BR,"Oil Products Tanker"
9644122,710236000,TAGAZ,BR,"Offshore Supply Ship"
9453315,710234000,"JOAO CANDIDO",BR,"Crude Oil Tanker"
9687368,710231000,"BRAM BOA VISTA",BR,"Not available"
9578660,710218000,"SIEM ATLAS",BR,"Offshore Supply Ship"
9056399,710172000,"NORSUL CRATEUS",BR,"Bulk Carrier"
8301814,710159000,"NT LAMBARI",BR,"Oil Products Tanker"
9679218,710123456,"WS CYGNUS",BR,"Not available"
9573141,710112233,DELPHINUS,BR,Tug
9256834,710088000,GUANACO,BR,"Oil/Chemical Tanker"
9648726,710086000,"CREST CRYSTAL",BR,Tug
8610019,710082000,"CASTILLO PLASENCIA",BR,"Oil/Chemical Tanker"
9318434,710076000,"CBO CHIARA",BR,Tug
8301802,710074500,LAGES,BR,"Oil Products Tanker"
8421171,710074400,"NT PEDREIRAS",BR,"Crude Oil Tanker"
8421169,710074200,POTENGI,BR,"Crude Oil Tanker"
8617079,710074100,PIRAJUI,BR,"Crude Oil Tanker"
8617093,710074018,"LINDOIA BR",BR,"Oil Products Tanker"
8617055,710074016,"LORENA BR",BR,"Oil Products Tanker"
9603233,710074011,"AMERICO VESPUCIO",BR,Cargo
9625396,710074009,"VICENTE PINZON",BR,"Cargo B"
9070565,710071000,"MARCOS DIAS",BR,"Bulk Carrier"
9055113,710070000,"SAO LUIZ",BR,"Bulk Carrier"
9318412,710069000,"CBO GUANABARA",BR,"Multi Purpose Offshore Vessel"
9270244,710053000,"HAROLDO RAMOS",BR,"Anchor Handling Vessel"
9273258,710052000,AUSTRAL_ABROLHOS,BR,"Offshore Supply Ship"
9270232,710050000,"YVAN BARRETTO",BR,"Anchor Handling Vessel"
9000742,710045000,"ALIANCA EUROPA",BR,"Container Ship"
9270220,710039000,"GEONISIO BARROSO",BR,"Anchor Handling Vessel"
8020769,710034000,"CASTILLO DE GUADALUP",BR,Bulker
8716227,710031000,"ENG MASCARENHAS",BR,Tug
7433610,710029000,"BRAZTRANS 1",BR,"Bulk Carrier"
9672636,710026060,"HOS BRASS RING",BR,Cargo
9679244,710025760,"WS TITAN",BR,"Pilot Vessel"
9243825,710025520,"VITORIA BAY",BR,"General Cargo"
9645621,710025240,"BRAVANTE VI",BR,Cargo
9636022,710024850,"PSV SABLE",BR,Cargo
9453858,710024830,"MARCILIO DIAS",BR,Tanker
9726279,710024440,"JIM O'BRIEN",BR,"Other Type"
9756949,710024250,BS.IPORANGA,BR,Cargo
9759460,710024040,"STARNAV AQUILA",BR,Reserved
9209556,710023990,BRIGANTIA,BR,Tug
